MH Analytics System - Professional Sales Report
Report Date,2026-05-18 11:33

--- General Performance Summary ---
Total Revenue,$2269046.77
Total Transactions,2125

--- Transaction Details ---
Date,Store,Product,Quantity,Unit Price,Total
2026-02-25,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-25,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-25,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-25,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-25,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-25,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-25,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-25,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-25,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-25,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-25,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-25,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-24,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-24,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-24,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-24,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-24,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-24,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-24,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-24,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-24,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-24,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-24,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-23,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-23,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-23,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-23,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-23,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-23,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-23,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-23,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-23,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-23,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-23,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-23,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-23,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-23,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-22,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-22,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-22,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-22,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-22,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-22,Main Store,Gadget 4,3,$99.99,$299.97
2026-02-22,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-22,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-22,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-22,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-22,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-22,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-22,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-22,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-22,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-22,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-22,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-22,Main Store,Gadget 4,3,$99.99,$299.97
2026-02-22,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-22,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-22,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-22,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-21,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-21,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-21,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-21,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-21,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-21,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-21,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-21,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-21,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-21,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-21,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-21,Main Store,Gadget 4,5,$99.99,$499.95
