تاريخ الفاتورة,اسم الدواء/المنتج,الكمية المباعة,سعر الوحدة,إجمالي المبيعات,التصنيف
2023-11-06,Antibiotics,4,6.777,27.108,أدوية وصفية
2023-02-25,Antibiotics,2,1.62,3.24,أدوية وصفية
2023-10-14,Vitamin C,4,20.649,82.596,مستلزمات طبية
2023-12-13,Aspirin,3,2.353,7.059,أدوية عامة
2023-09-30,Panadol,1,13.515,13.515,أدوية عامة
2023-03-26,Aspirin,1,1.142,1.142,أدوية عامة
2023-04-07,Face Masks,5,12.513,62.565,مستلزمات طبية
2023-12-27,Vitamin C,4,32.621,130.484,مستلزمات طبية
2023-07-02,Cough Syrup,5,12.239,61.195,أدوية عامة
2023-08-27,Band-Aids,5,4.062,20.31,مستلزمات طبية
2023-03-27,Panadol,1,3.871,3.871,أدوية عامة
2023-05-28,Band-Aids,2,19.723,39.446,مستلزمات طبية
2023-04-18,Face Masks,1,31.13,31.13,مستلزمات طبية
2023-09-18,Panadol,5,25.268,126.34,أدوية عامة
2023-04-01,Panadol,2,9.925,19.85,أدوية عامة
2023-05-14,Antibiotics,5,12.15,60.75,أدوية وصفية
2023-03-21,Antibiotics,1,11.657,11.657,أدوية وصفية
2023-05-21,Cough Syrup,2,7.139,14.278,أدوية عامة
2023-09-28,Panadol,5,27.356,136.78,أدوية عامة
2023-03-28,Antibiotics,1,27.906,27.906,أدوية وصفية
2023-08-13,Hand Sanitizer,5,21.276,106.38,مستلزمات طبية
2023-02-10,Antibiotics,1,15.771,15.771,أدوية وصفية
2023-01-30,Face Masks,2,34.771,69.542,مستلزمات طبية
2023-12-28,Panadol,3,29.315,87.945,أدوية عامة
2023-07-13,Hand Sanitizer,4,14.649,58.596,مستلزمات طبية
2023-06-21,Vitamin C,1,25.12,25.12,مستلزمات طبية
2023-08-08,Aspirin,3,9.518,28.554,أدوية عامة
2023-06-29,Panadol,3,21.531,64.593,أدوية عامة
2023-01-03,Face Masks,1,34.111,34.111,مستلزمات طبية
2023-12-04,Face Masks,2,11.767,23.534,مستلزمات طبية
2023-03-11,Face Masks,1,34.316,34.316,مستلزمات طبية
2023-08-20,Aspirin,3,30.439,91.317,أدوية عامة
2023-01-31,Panadol,3,5.563,16.689,أدوية عامة
2023-11-17,Cough Syrup,4,29.118,116.472,أدوية عامة
2023-07-23,Panadol,5,3.306,16.53,أدوية عامة
2023-12-30,Aspirin,1,34.469,34.469,أدوية عامة
2023-02-27,Band-Aids,3,2.97,8.91,مستلزمات طبية
2023-09-07,Antibiotics,1,34.364,34.364,أدوية وصفية
2023-01-19,Cough Syrup,3,28.13,84.39,أدوية عامة
2023-08-31,Face Masks,3,1.861,5.583,مستلزمات طبية
2023-07-01,Vitamin C,3,8.515,25.545,مستلزمات طبية
2023-05-24,Antibiotics,3,30.755,92.265,أدوية وصفية
2023-11-02,Face Masks,2,34.212,68.424,مستلزمات طبية
2023-01-03,Cough Syrup,2,12.608,25.216,أدوية عامة
2023-12-08,Antibiotics,4,23.568,94.272,أدوية وصفية
2023-04-13,Cough Syrup,2,16.617,33.234,أدوية عامة
2023-10-28,Panadol,4,21.323,85.292,أدوية عامة
2023-05-26,Vitamin C,1,11.733,11.733,مستلزمات طبية
2023-09-24,Face Masks,5,30.503,152.515,مستلزمات طبية
2023-10-03,Cough Syrup,2,3.439,6.878,أدوية عامة
