تاريخ البيع,نوع العقار,المدينة,المساحة (متر مربع),قيمة الصفقة,حالة العقار
2023-04-13,فيلا,مسقط,428,282127,مستخدم
2023-06-16,أرض سكنية,نزوى,1841,162377,تحت الإنشاء
2023-12-18,عمارة,صلالة,799,167334,تحت الإنشاء
2023-04-26,أرض تجارية,صلالة,576,335584,تحت الإنشاء
2023-03-30,شقة,مسقط,1924,224490,جديد
2023-06-19,أرض سكنية,صور,1485,324179,مستخدم
2023-08-30,شقة,صلالة,746,122692,مستخدم
2023-08-18,أرض سكنية,صحار,568,144984,تحت الإنشاء
2023-05-29,أرض سكنية,صلالة,520,149203,جديد
2023-08-19,شقة,السيب,967,216689,جديد
2023-08-24,فيلا,صحار,1945,227658,جديد
2023-05-17,شقة,صور,996,263334,جديد
2023-11-07,عمارة,نزوى,1862,53956,مستخدم
2023-06-08,فيلا,صحار,909,124699,تحت الإنشاء
2023-03-31,شقة,نزوى,572,335564,تحت الإنشاء
2023-12-26,أرض تجارية,السيب,777,163940,جديد
2023-11-20,شقة,عبري,1929,295725,جديد
2023-02-22,شقة,عبري,1994,282091,مستخدم
2023-10-28,فيلا,عبري,1166,242118,تحت الإنشاء
2023-06-21,شقة,السيب,1708,123530,جديد
2023-11-13,شقة,السيب,1405,161583,مستخدم
2023-12-18,عمارة,خصب,1127,211061,تحت الإنشاء
2023-03-27,فيلا,صلالة,1936,314232,جديد
2023-02-17,عمارة,خصب,1026,239553,مستخدم
2023-05-20,عمارة,السيب,655,196229,تحت الإنشاء
2023-02-05,فيلا,صلالة,869,155726,تحت الإنشاء
2023-07-19,أرض سكنية,مسقط,1444,279611,جديد
2023-11-29,فيلا,صلالة,1786,32544,تحت الإنشاء
2023-05-14,شقة,صحار,1337,47858,مستخدم
2023-06-08,شقة,صلالة,1231,163280,جديد
