تاريخ الشراء,المنتج,الكمية,سعر الوحدة,الإجمالي,القسم
2023-01-17,لحم,6,2.527,15.162,اللحوم
2023-09-19,منظفات,14,10.729,150.206,البقالة
2023-02-12,عصائر,12,1.807,21.684,البقالة
2023-12-26,حليب,1,1.861,1.861,البقالة
2023-06-27,عصائر,13,10.091,131.183,البقالة
2023-05-29,حليب,3,8.185,24.555,البقالة
2023-10-21,عصائر,15,11.707,175.605,البقالة
2023-08-11,فواكه,15,11.377,170.655,البقالة
2023-06-25,فواكه,9,6.795,61.155,البقالة
2023-01-21,دجاج,2,5.035,10.07,اللحوم
2023-05-03,أرز,7,7.181,50.267,البقالة
2023-08-28,دجاج,5,4.239,21.195,اللحوم
2023-10-10,خضروات,6,5.455,32.73,البقالة
2023-05-09,عصائر,2,1.717,3.434,البقالة
2023-11-16,معلبات,3,7.452,22.356,البقالة
2023-10-10,معلبات,17,4.738,80.546,البقالة
2023-06-09,حليب,6,7.175,43.05,البقالة
2023-12-26,دجاج,4,11.519,46.076,اللحوم
2023-05-02,معلبات,13,11.794,153.322,البقالة
2023-01-19,معلبات,2,0.705,1.41,البقالة
2023-03-12,عصائر,2,2.522,5.044,البقالة
2023-11-26,معلبات,16,10.0,160.0,البقالة
2023-10-24,معلبات,17,11.188,190.196,البقالة
2023-09-13,دجاج,5,2.281,11.405,اللحوم
2023-10-24,منظفات,19,2.896,55.024,البقالة
2023-12-04,خبز,13,4.024,52.312,المخبوزات
2023-12-15,أرز,2,6.965,13.93,البقالة
2023-07-02,فواكه,14,3.306,46.284,البقالة
2023-02-20,منظفات,15,10.192,152.88,البقالة
2023-09-23,لحم,7,1.487,10.409,اللحوم
2023-08-08,أرز,6,8.23,49.38,البقالة
2023-11-20,عصائر,5,7.54,37.7,البقالة
2023-10-29,منظفات,14,11.87,166.18,البقالة
2023-05-14,خبز,6,6.375,38.25,المخبوزات
2023-06-14,خضروات,2,7.752,15.504,البقالة
2023-03-07,عصائر,7,3.775,26.425,البقالة
2023-03-25,أرز,2,9.387,18.774,البقالة
2023-09-05,حليب,16,8.866,141.856,البقالة
2023-05-01,حليب,6,3.984,23.904,البقالة
2023-10-22,حليب,15,0.77,11.55,البقالة
2023-03-09,خبز,10,5.051,50.51,المخبوزات
2023-01-18,لحم,8,4.452,35.616,اللحوم
2023-01-25,لحم,2,1.361,2.722,اللحوم
2023-02-15,خضروات,18,5.115,92.07,البقالة
2023-01-15,عصائر,3,6.37,19.11,البقالة
2023-10-12,خضروات,20,5.521,110.42,البقالة
2023-04-04,معلبات,11,8.633,94.963,البقالة
2023-08-08,عصائر,6,8.285,49.71,البقالة
2023-09-25,خبز,15,6.932,103.98,المخبوزات
2023-05-18,لحم,7,3.358,23.506,اللحوم
2023-06-27,حليب,12,2.104,25.248,البقالة
2023-04-25,لحم,5,8.021,40.105,اللحوم
2023-07-14,منظفات,1,5.187,5.187,البقالة
2023-03-23,معلبات,13,6.442,83.746,البقالة
2023-02-11,فواكه,2,4.397,8.794,البقالة
2023-11-28,فواكه,13,3.948,51.324,البقالة
2023-07-09,خبز,10,4.074,40.74,المخبوزات
2023-07-18,حليب,9,5.424,48.816,البقالة
2023-06-24,خبز,11,9.287,102.157,المخبوزات
2023-09-09,خبز,13,1.082,14.066,المخبوزات
2023-07-01,دجاج,10,1.131,11.31,اللحوم
2023-09-24,لحم,7,2.629,18.403,اللحوم
2023-04-04,حليب,19,11.143,211.717,البقالة
2023-06-04,فواكه,13,9.867,128.271,البقالة
2023-08-28,دجاج,6,5.134,30.804,اللحوم
2023-08-05,لحم,6,1.567,9.402,اللحوم
2023-03-20,معلبات,18,5.448,98.064,البقالة
2023-02-14,معلبات,5,9.163,45.815,البقالة
2023-02-26,لحم,14,1.459,20.426,اللحوم
2023-08-28,خبز,4,3.334,13.336,المخبوزات
2023-05-22,حليب,5,5.246,26.23,البقالة
2023-05-26,فواكه,20,5.8,116.0,البقالة
2023-12-19,خبز,2,4.125,8.25,المخبوزات
2023-09-30,معلبات,9,2.702,24.318,البقالة
2023-10-21,عصائر,15,6.604,99.06,البقالة
2023-01-03,معلبات,8,2.583,20.664,البقالة
2023-06-05,خبز,9,4.217,37.953,المخبوزات
2023-10-22,عصائر,9,6.216,55.944,البقالة
2023-03-30,خبز,2,5.578,11.156,المخبوزات
2023-08-09,معلبات,14,7.105,99.47,البقالة
2023-04-21,خبز,16,6.066,97.056,المخبوزات
2023-01-14,فواكه,7,9.131,63.917,البقالة
2023-06-03,منظفات,20,10.849,216.98,البقالة
2023-06-20,منظفات,6,2.864,17.184,البقالة
2023-10-29,منظفات,12,4.671,56.052,البقالة
2024-01-01,دجاج,6,6.411,38.466,اللحوم
2023-11-25,لحم,6,0.517,3.102,اللحوم
2023-06-02,منظفات,7,10.75,75.25,البقالة
2023-04-23,دجاج,2,4.658,9.316,اللحوم
2023-05-29,خضروات,20,9.627,192.54,البقالة
2023-12-29,دجاج,17,5.125,87.125,اللحوم
2023-08-04,فواكه,13,4.792,62.296,البقالة
2023-11-15,خضروات,19,6.441,122.379,البقالة
2023-01-22,أرز,11,10.777,118.547,البقالة
2023-03-06,فواكه,16,8.891,142.256,البقالة
2023-04-17,لحم,11,10.041,110.451,اللحوم
2023-02-20,أرز,11,6.751,74.261,البقالة
2023-12-09,عصائر,18,11.803,212.454,البقالة
2023-12-23,لحم,11,6.235,68.585,اللحوم
2023-07-12,منظفات,5,6.15,30.75,البقالة
