Date,Description,Amount,Type,Category
2023-01-06,Sales Revenue,1267.07,Income,Sales Revenue
2023-01-10,Sales Revenue,962.72,Income,Sales Revenue
2023-01-12,Sales Revenue,1451.62,Income,Sales Revenue
2023-01-14,Sales Revenue,591.1,Income,Sales Revenue
2023-01-14,Sales Revenue,219.85,Income,Sales Revenue
2023-01-17,Sales Revenue,801.77,Income,Sales Revenue
2023-01-17,Utilities,406.44,Expense,Utilities
2023-01-28,Sales Revenue,476.56,Income,Sales Revenue
2023-02-04,Sales Revenue,457.56,Income,Sales Revenue
2023-02-04,Sales Revenue,9.28,Income,Sales Revenue
2023-02-04,Salary,492.15,Expense,Salary
2023-02-06,Sales Revenue,396.07,Income,Sales Revenue
2023-02-06,Rent,393.24,Expense,Rent
2023-02-15,Sales Revenue,1462.31,Income,Sales Revenue
2023-02-15,Supplies,375.17,Expense,Supplies
2023-02-18,Sales Revenue,593.51,Income,Sales Revenue
2023-02-20,Sales Revenue,14.7,Income,Sales Revenue
2023-02-24,Sales Revenue,901.75,Income,Sales Revenue
2023-03-02,Sales Revenue,1473.81,Income,Sales Revenue
2023-03-03,Sales Revenue,960.75,Income,Sales Revenue
2023-03-04,Sales Revenue,684.94,Income,Sales Revenue
2023-03-29,Sales Revenue,977.76,Income,Sales Revenue
2023-04-01,Sales Revenue,1491.74,Income,Sales Revenue
2023-04-02,Sales,141.87,Expense,Sales
2023-04-05,Sales Revenue,778.03,Income,Sales Revenue
2023-04-05,Sales Revenue,1249.64,Income,Sales Revenue
2023-04-08,Sales Revenue,989.34,Income,Sales Revenue
2023-04-15,Sales Revenue,1019.82,Income,Sales Revenue
2023-04-21,Sales Revenue,96.96,Income,Sales Revenue
2023-04-21,Sales Revenue,1155.07,Income,Sales Revenue
2023-05-01,Sales Revenue,1043.12,Income,Sales Revenue
2023-05-02,Sales Revenue,613.02,Income,Sales Revenue
2023-05-05,Rent,119.37,Expense,Rent
2023-05-05,Supplies,394.97,Expense,Supplies
2023-05-11,Salary,60.29,Expense,Salary
2023-05-13,Marketing,341.38,Expense,Marketing
2023-05-14,Sales Revenue,886.69,Income,Sales Revenue
2023-05-14,Rent,459.44,Expense,Rent
2023-05-16,Sales Revenue,685.13,Income,Sales Revenue
2023-05-20,Marketing,220.48,Expense,Marketing
2023-05-26,Sales Revenue,757.6,Income,Sales Revenue
2023-06-01,Sales Revenue,1274.09,Income,Sales Revenue
2023-06-04,Sales Revenue,48.41,Income,Sales Revenue
2023-06-07,Sales Revenue,963.54,Income,Sales Revenue
2023-06-08,Sales Revenue,1239.6,Income,Sales Revenue
2023-06-12,Sales Revenue,49.48,Income,Sales Revenue
2023-06-18,Sales Revenue,1075.42,Income,Sales Revenue
2023-06-22,Sales Revenue,947.88,Income,Sales Revenue
2023-06-29,Sales Revenue,1346.85,Income,Sales Revenue
2023-06-30,Utilities,145.07,Expense,Utilities
