Invoice Date,Product Name,Quantity Sold,Unit Price,Total Sales,Category
2023-04-29,Cough Syrup,4,23.076,92.304,General Medicine
2023-09-28,Antibiotics,4,5.616,22.464,Prescription
2023-07-11,Face Masks,5,20.575,102.875,Medical Supplies
2023-06-09,Antibiotics,1,32.328,32.328,Prescription
2023-07-20,Band-Aids,3,30.193,90.579,Medical Supplies
2023-10-14,Vitamin C,1,13.005,13.005,Medical Supplies
2023-05-12,Panadol,5,9.578,47.89,General Medicine
2023-09-09,Hand Sanitizer,4,6.438,25.752,Medical Supplies
2023-10-30,Hand Sanitizer,3,29.6,88.8,Medical Supplies
2023-07-19,Panadol,5,33.391,166.955,General Medicine
2023-11-26,Aspirin,5,11.238,56.19,General Medicine
2023-10-10,Hand Sanitizer,1,15.716,15.716,Medical Supplies
2023-07-31,Aspirin,1,17.847,17.847,General Medicine
2023-06-24,Vitamin C,5,28.811,144.055,Medical Supplies
2023-02-17,Face Masks,5,19.134,95.67,Medical Supplies
2023-01-04,Cough Syrup,3,9.178,27.534,General Medicine
2023-06-22,Face Masks,3,34.433,103.299,Medical Supplies
2023-09-10,Face Masks,1,7.981,7.981,Medical Supplies
2023-01-04,Panadol,5,23.224,116.12,General Medicine
2023-06-27,Aspirin,4,11.169,44.676,General Medicine
2023-12-16,Antibiotics,5,19.173,95.865,Prescription
2023-05-08,Hand Sanitizer,5,13.308,66.54,Medical Supplies
2023-12-27,Aspirin,4,26.567,106.268,General Medicine
2023-11-18,Cough Syrup,1,19.271,19.271,General Medicine
2023-07-20,Antibiotics,3,25.804,77.412,Prescription
2023-11-03,Cough Syrup,1,18.047,18.047,General Medicine
2023-05-14,Band-Aids,4,13.355,53.42,Medical Supplies
2023-11-04,Panadol,1,19.589,19.589,General Medicine
2023-01-23,Hand Sanitizer,3,14.618,43.854,Medical Supplies
2023-12-28,Antibiotics,2,8.554,17.108,Prescription
2023-07-26,Aspirin,1,3.157,3.157,General Medicine
2023-10-02,Band-Aids,5,26.194,130.97,Medical Supplies
2023-12-28,Aspirin,5,25.001,125.005,General Medicine
2023-06-23,Panadol,1,31.08,31.08,General Medicine
2023-05-22,Vitamin C,5,21.622,108.11,Medical Supplies
2023-12-06,Panadol,5,6.478,32.39,General Medicine
2023-01-30,Antibiotics,4,21.285,85.14,Prescription
2023-11-08,Aspirin,4,10.561,42.244,General Medicine
2023-05-04,Panadol,1,31.433,31.433,General Medicine
2023-02-09,Band-Aids,1,4.575,4.575,Medical Supplies
2023-07-01,Cough Syrup,5,27.117,135.585,General Medicine
2023-08-30,Hand Sanitizer,3,28.721,86.163,Medical Supplies
2023-03-31,Antibiotics,4,31.925,127.7,Prescription
2023-02-23,Panadol,4,22.417,89.668,General Medicine
2023-09-11,Cough Syrup,4,27.278,109.112,General Medicine
2023-09-19,Band-Aids,5,28.622,143.11,Medical Supplies
2023-07-12,Cough Syrup,5,8.935,44.675,General Medicine
2023-12-18,Aspirin,4,33.475,133.9,General Medicine
2023-02-18,Cough Syrup,3,33.154,99.462,General Medicine
2023-07-22,Face Masks,4,10.455,41.82,Medical Supplies
