Sale Date,Property Type,City,Area (sqm),Transaction Value,Property Status
2023-04-01,Apartment,Sohar,1796,153609,Under Construction
2023-02-15,Villa,Sohar,558,342381,New
2023-06-11,Building,Muscat,1028,104818,Under Construction
2023-02-13,Building,Nizwa,438,301759,New
2023-12-11,Building,Sur,1745,187951,Under Construction
2023-09-17,Building,Khasab,420,170521,Under Construction
2023-06-10,Building,Sohar,1392,292879,New
2023-09-28,Commercial Land,Seeb,1536,178021,Under Construction
2023-06-28,Villa,Khasab,571,332747,Under Construction
2023-03-10,Apartment,Khasab,444,56668,New
2023-06-26,Building,Seeb,583,148055,New
2023-04-07,Commercial Land,Khasab,532,222281,New
2023-05-14,Apartment,Muscat,651,204067,New
2023-11-22,Commercial Land,Nizwa,535,227704,Used
2023-05-15,Villa,Sur,1152,196653,New
2023-04-19,Villa,Khasab,1603,138331,Used
2023-11-13,Building,Sohar,303,189970,Under Construction
2023-09-19,Commercial Land,Seeb,745,339795,New
2023-03-17,Commercial Land,Sur,1348,115489,Under Construction
2023-09-08,Commercial Land,Sur,512,194214,New
2023-10-01,Building,Nizwa,1111,92681,New
2023-09-20,Building,Ibri,1051,138276,Used
2023-07-17,Commercial Land,Ibri,1931,329642,Used
2023-04-09,Residential Land,Sohar,253,249046,Under Construction
2023-02-24,Residential Land,Nizwa,1358,326031,New
2023-09-30,Apartment,Ibri,591,208813,New
2023-09-20,Commercial Land,Khasab,351,134717,Used
2023-02-17,Building,Khasab,1931,55788,Used
2023-09-04,Building,Sur,1264,152815,Under Construction
2023-09-26,Commercial Land,Sohar,454,347912,Under Construction
