Date,Branch,Channel,Category,Quantity,Unit Price,Cost,Total Sales,Revenue,Profit,Waste,Status
2023-01-01,Nizwa,Online,Laptops,2,323.0,224.89,645.99,645.99,196.21,0.0,Completed
2023-01-01,Muscat,Retail,Tablets,4,147.94,80.71,591.74,591.74,268.9,0.0,Completed
2023-01-01,Muscat,Wholesale,Smartphones,36,198.57,162.81,7148.67,7148.67,1287.42,0.0,Completed
2023-01-01,Sohar,Retail,Smartphones,3,258.43,158.44,775.29,775.29,299.97,0.0,Completed
2023-01-02,Nizwa,Retail,Accessories,5,23.28,15.88,116.39,116.39,36.98,0.0,Completed
2023-01-02,Nizwa,Online,Smartphones,5,254.17,144.66,1270.85,1270.85,547.54,0.0,Completed
2023-01-02,Salalah,Online,Smartphones,4,273.98,149.72,1095.91,1095.91,497.03,0.0,Completed
2023-01-02,Sohar,Online,Accessories,2,23.39,12.51,46.77,46.77,21.74,0.0,Completed
2023-01-02,Salalah,Retail,Laptops,3,374.28,250.87,1122.85,1122.85,370.23,0.0,Completed
2023-01-02,Salalah,Online,Tablets,5,138.94,87.93,694.7,694.7,255.06,0.0,Completed
2023-01-02,Muscat,Online,Smartphones,4,274.9,140.44,1099.59,1099.59,537.84,0.0,Completed
2023-01-02,Salalah,Retail,Laptops,5,380.2,202.23,1901.01,1901.01,889.86,0.0,Completed
2023-01-03,Muscat,Online,Smartphones,3,253.65,153.43,760.95,760.95,300.65,0.0,Completed
2023-01-03,Muscat,Online,Accessories,1,26.43,14.17,26.43,26.43,12.26,0.0,Completed
2023-01-03,Nizwa,Online,Laptops,3,338.96,222.16,1016.87,1016.87,350.38,0.0,Completed
2023-01-04,Sohar,Online,Wearables,5,78.44,40.42,392.21,392.21,190.11,0.0,Completed
2023-01-04,Nizwa,Retail,Laptops,3,334.21,220.73,1002.63,1002.63,340.45,0.0,Completed
2023-01-04,Sohar,Online,Accessories,5,27.45,15.27,137.26,137.26,60.93,0.0,Completed
2023-01-04,Muscat,Wholesale,Wearables,51,58.6,49.98,2988.78,2988.78,439.96,0.0,Completed
2023-01-04,Muscat,Online,Smartphones,4,257.34,152.83,1029.34,1029.34,418.03,0.0,Completed
2023-01-04,Nizwa,Retail,Tablets,3,155.25,107.72,465.75,465.75,142.59,0.0,Completed
2023-01-05,Sohar,Online,Accessories,4,26.3,17.2,105.22,105.22,36.43,0.0,Completed
2023-01-05,Muscat,Retail,Smartphones,1,265.02,163.74,265.02,265.02,101.29,0.0,Completed
2023-01-05,Sohar,Retail,Tablets,3,156.56,80.31,469.68,469.68,228.77,0.0,Completed
2023-01-05,Salalah,Online,Smartphones,2,234.56,150.34,469.11,469.11,168.43,0.0,Completed
2023-01-05,Nizwa,Retail,Accessories,2,27.15,15.64,54.3,54.3,23.01,0.0,Completed
2023-01-05,Sohar,Retail,Tablets,3,161.52,99.23,484.56,484.56,186.88,0.0,Completed
2023-01-05,Muscat,Online,Smartphones,5,226.43,145.56,1132.17,1132.17,404.38,0.0,Completed
2023-01-05,Salalah,Retail,Laptops,3,317.32,220.02,951.97,951.97,291.89,0.0,Completed
2023-01-06,Salalah,Online,Wearables,2,82.1,53.98,164.2,0.0,-31.77,31.77,Returned
2023-01-06,Salalah,Wholesale,Accessories,11,19.63,15.8,215.94,215.94,42.17,0.0,Completed
2023-01-06,Nizwa,Wholesale,Laptops,33,262.82,168.15,8673.09,8673.09,3124.15,0.0,Completed
2023-01-06,Sohar,Online,Accessories,1,24.3,14.66,24.3,24.3,9.64,0.0,Completed
2023-01-07,Salalah,Wholesale,Accessories,26,18.36,14.21,477.45,477.45,107.94,0.0,Completed
2023-01-07,Muscat,Wholesale,Laptops,75,279.7,182.0,20977.17,20977.17,7327.3,0.0,Completed
2023-01-07,Muscat,Retail,Laptops,3,327.73,201.49,983.2,983.2,378.72,0.0,Completed
2023-01-07,Sohar,Online,Accessories,5,23.95,16.03,119.77,119.77,39.6,0.0,Completed
2023-01-07,Nizwa,Online,Tablets,1,141.81,94.92,141.81,141.81,46.89,0.0,Completed
2023-01-07,Muscat,Retail,Laptops,5,331.69,175.19,1658.45,1658.45,782.48,0.0,Completed
2023-01-07,Sohar,Online,Smartphones,5,236.75,161.3,1183.76,1183.76,377.27,0.0,Completed
2023-01-08,Sohar,Online,Accessories,1,25.6,14.42,25.6,25.6,11.18,0.0,Completed
2023-01-08,Nizwa,Retail,Smartphones,3,243.11,159.28,729.32,729.32,251.49,0.0,Completed
2023-01-08,Muscat,Retail,Smartphones,1,261.62,155.24,261.62,261.62,106.39,0.0,Completed
2023-01-08,Salalah,Online,Accessories,5,27.18,16.9,135.91,135.91,51.41,0.0,Completed
2023-01-09,Muscat,Retail,Laptops,4,367.79,223.48,1471.17,1471.17,577.25,0.0,Completed
