Record_ID,Date,Total_Customers,New_Customers,Retained_Customers,Churn_Rate,Revenue_OMR,Expenses_OMR,Profit_OMR,Employee_Count,Service_Requests,Completed_Services
1,2024-01-19,1157,143,356,0.102,10027.7,8100.57,1927.13,10,430,255
2,2024-05-10,1534,154,146,0.134,15747.35,8111.01,7636.34,95,117,113
3,2024-03-01,548,176,220,0.153,17740.16,1652.13,16088.03,73,340,209
4,2024-07-09,1943,156,1741,0.115,19396.65,12804.46,6592.19,58,449,178
5,2024-12-11,1738,105,1669,0.088,16145.63,8733.49,7412.14,100,429,320
6,2024-04-21,1513,168,1501,0.085,2609.39,3677.43,-1068.04,64,417,69
7,2024-12-20,1617,102,1195,0.052,2617.23,1397.68,1219.55,61,184,55
8,2024-08-01,1946,177,878,0.129,10062.45,8197.4,1865.05,99,164,56
9,2024-12-10,1260,141,133,0.019,16029.99,7745.49,8284.5,64,158,151
10,2024-05-24,1293,63,107,0.125,8084.52,14282.55,-6198.03,61,407,342
11,2024-12-03,1400,58,1195,0.121,15793.2,7738.48,8054.72,87,85,57
12,2024-07-02,1673,75,1520,0.156,9237.86,8022.84,1215.02,18,299,105
13,2024-01-31,1358,57,1264,0.177,14049.68,5690.72,8358.96,48,197,79
14,2024-02-25,909,162,231,0.098,2480.86,6103.76,-3622.9,59,77,73
15,2024-06-25,1563,77,275,0.125,18106.25,4511.7,13594.55,49,62,51
16,2024-06-05,551,73,214,0.035,17256.05,7286.85,9969.2,44,194,176
17,2024-05-01,850,178,621,0.096,7974.46,5278.69,2695.77,35,297,216
18,2024-07-03,1231,131,1012,0.038,15599.13,5938.73,9660.4,41,429,297
19,2024-08-11,1094,200,817,0.158,8755.04,12193.27,-3438.23,64,357,159
20,2024-12-12,912,183,496,0.139,7609.9,10991.76,-3381.86,88,359,224
21,2024-10-05,833,71,514,0.05,11214.77,11891.4,-676.63,52,100,72
22,2024-02-07,713,94,167,0.104,12190.3,9734.96,2455.34,18,306,252
23,2024-01-14,525,161,303,0.174,6088.64,7643.0,-1554.36,77,395,363
24,2024-07-27,1198,101,944,0.021,8807.04,4773.42,4033.62,84,74,66
25,2024-12-07,1121,154,143,0.11,10678.36,10364.4,313.96,57,490,182
26,2024-05-25,810,111,251,0.094,17284.61,10131.38,7153.23,16,383,314
27,2024-11-14,356,117,117,0.152,11383.01,13985.15,-2602.14,65,261,227
28,2024-05-19,1296,119,813,0.064,13644.27,2010.74,11633.53,80,72,68
29,2024-08-28,617,143,268,0.147,14584.86,12649.83,1935.03,59,451,106
30,2024-04-03,1519,143,424,0.074,10264.27,3275.88,6988.39,65,83,63
31,2024-09-26,1954,51,1360,0.017,16906.7,14801.23,2105.47,28,103,57
32,2024-06-09,589,80,246,0.013,3581.27,4585.42,-1004.15,59,364,47
33,2024-06-26,1236,159,768,0.092,18591.88,8072.1,10519.78,92,95,85
34,2024-10-16,691,119,212,0.029,4096.53,14116.5,-10019.97,58,232,157
35,2024-11-09,1097,127,809,0.184,13801.82,9037.91,4763.91,43,451,273
36,2024-08-24,1394,133,951,0.087,12049.17,9384.51,2664.66,17,412,395
37,2024-08-28,646,29,209,0.112,15766.5,11196.92,4569.58,23,204,170
38,2024-07-01,1156,39,368,0.168,15864.81,8088.55,7776.26,64,243,155
39,2024-08-20,718,107,398,0.09,6693.06,1409.52,5283.54,23,217,116
40,2024-11-02,679,101,212,0.137,15928.07,10223.74,5704.33,13,52,47
41,2024-04-10,1558,135,280,0.046,14691.17,7481.77,7209.4,17,69,56
42,2024-06-05,1565,131,898,0.049,15987.06,7840.64,8146.42,98,217,44
43,2024-02-02,965,184,871,0.116,15652.52,3015.91,12636.61,24,170,81
44,2024-07-07,1374,59,823,0.119,14344.99,14028.23,316.76,63,276,198
45,2024-09-30,495,115,286,0.179,7253.71,13137.07,-5883.36,32,429,241
46,2024-11-12,571,149,446,0.076,17067.08,14864.36,2202.72,24,68,42
47,2024-06-23,749,87,380,0.109,4352.15,5654.44,-1302.29,79,496,435
48,2024-01-01,469,160,360,0.107,15643.07,8400.49,7242.58,41,138,133
49,2024-11-15,1360,64,1343,0.143,14248.56,1081.0,13167.56,90,117,85
50,2024-01-03,783,33,286,0.063,18633.98,7120.79,11513.19,58,260,169
51,2024-07-16,387,110,176,0.037,6244.82,4942.06,1302.76,43,380,49
52,2024-03-20,1199,47,351,0.111,11061.92,9917.9,1144.02,50,398,117
53,2024-05-04,1158,170,683,0.088,8128.03,1025.87,7102.16,79,293,177
54,2024-04-09,211,135,143,0.135,13116.12,2559.72,10556.4,51,94,57
55,2024-08-01,1118,154,825,0.137,17127.27,5449.71,11677.56,82,193,182
56,2024-04-07,1865,127,730,0.16,12801.9,11562.7,1239.2,16,171,155
57,2024-07-27,1368,68,1133,0.038,2504.52,8251.69,-5747.17,58,193,160
58,2024-06-23,1417,146,1388,0.125,18749.13,11748.45,7000.68,59,335,108
59,2024-06-01,433,76,303,0.02,15660.56,1637.18,14023.38,27,410,321
60,2024-07-15,1527,155,110,0.105,14283.44,9020.15,5263.29,49,274,172
61,2024-01-17,1494,96,273,0.161,3013.93,12146.9,-9132.97,100,148,69
62,2024-01-23,258,131,102,0.156,6810.25,8034.21,-1223.96,80,457,156
63,2024-12-10,1688,184,220,0.187,15756.83,13100.72,2656.11,94,139,60
64,2024-11-14,257,171,206,0.095,5627.66,12079.82,-6452.16,96,104,59
65,2024-01-28,570,25,476,0.019,10615.81,14088.04,-3472.23,98,380,188
66,2024-01-19,1336,51,807,0.027,8398.83,11010.99,-2612.16,39,386,41
67,2024-08-10,1292,200,1150,0.051,19255.32,2669.73,16585.59,41,101,96
68,2024-06-08,1265,78,707,0.192,6375.5,6871.04,-495.54,26,409,143
69,2024-12-28,1203,163,375,0.13,4516.65,10163.11,-5646.46,96,142,44
70,2024-09-09,679,77,314,0.133,13099.52,7475.79,5623.73,74,448,243
71,2024-11-27,1321,154,1246,0.179,3831.83,8575.87,-4744.04,81,291,79
72,2024-06-05,1676,101,1201,0.011,16510.3,9776.55,6733.75,92,357,149
73,2024-02-09,620,85,280,0.049,6336.55,6540.32,-203.77,34,429,379
