Date,Branch,Channel,Category,Quantity,Unit Price,Cost,Total Sales,Revenue,Profit,Waste,Status
2023-01-01,Salalah,Online,Tablets,3,141.84,77.39,425.53,425.53,193.36,0.0,Completed
2023-01-01,Salalah,Retail,Smartphones,5,256.05,160.71,1280.23,1280.23,476.66,0.0,Completed
2023-01-02,Sohar,Retail,Smartphones,4,247.0,134.92,988.01,988.01,448.35,0.0,Completed
2023-01-02,Muscat,Retail,Smartphones,3,257.79,155.11,773.36,773.36,308.03,0.0,Completed
2023-01-02,Salalah,Retail,Laptops,1,357.76,200.36,357.76,357.76,157.39,0.0,Completed
2023-01-02,Salalah,Retail,Tablets,2,142.35,94.55,284.71,284.71,95.61,0.0,Completed
2023-01-02,Muscat,Online,Smartphones,2,268.6,147.15,537.2,537.2,242.9,0.0,Completed
2023-01-02,Salalah,Online,Smartphones,2,228.88,131.21,457.77,457.77,195.35,0.0,Completed
2023-01-02,Nizwa,Online,Smartphones,2,256.58,148.85,513.15,513.15,215.46,0.0,Completed
2023-01-02,Nizwa,Online,Accessories,1,25.45,14.56,25.45,25.45,10.89,0.0,Completed
2023-01-03,Sohar,Retail,Smartphones,3,239.62,139.83,718.87,718.87,299.36,0.0,Completed
2023-01-03,Nizwa,Retail,Accessories,2,25.5,16.69,50.99,50.99,17.61,0.0,Completed
2023-01-03,Muscat,Retail,Accessories,1,23.3,16.29,23.3,23.3,7.01,0.0,Completed
2023-01-03,Muscat,Retail,Accessories,2,23.34,13.44,46.68,46.68,19.81,0.0,Completed
2023-01-03,Salalah,Retail,Smartphones,4,273.1,174.45,1092.39,1092.39,394.59,0.0,Completed
2023-01-04,Salalah,Online,Wearables,1,75.77,38.19,75.77,75.77,37.57,0.0,Completed
2023-01-04,Muscat,Online,Laptops,2,377.82,218.63,755.63,755.63,318.38,0.0,Completed
2023-01-04,Salalah,Retail,Laptops,5,337.15,223.58,1685.73,1685.73,567.83,0.0,Completed
2023-01-04,Nizwa,Online,Accessories,5,26.53,13.58,132.67,0.0,-50.7,50.7,Returned
2023-01-05,Muscat,Online,Accessories,2,25.93,13.48,51.86,51.86,24.91,0.0,Completed
2023-01-05,Sohar,Retail,Accessories,1,23.78,13.84,23.78,23.78,9.94,0.0,Completed
2023-01-05,Muscat,Online,Smartphones,2,246.1,142.44,492.2,0.0,-58.04,58.04,Returned
2023-01-05,Nizwa,Retail,Smartphones,5,245.98,170.43,1229.88,0.0,-832.61,832.61,Returned
2023-01-05,Muscat,Online,Laptops,4,357.58,212.82,1430.31,1430.31,579.01,0.0,Completed
2023-01-05,Salalah,Retail,Smartphones,4,227.44,149.85,909.77,909.77,310.38,0.0,Completed
2023-01-05,Nizwa,Retail,Wearables,2,86.29,51.39,172.58,172.58,69.8,0.0,Completed
2023-01-05,Salalah,Online,Laptops,2,376.83,211.98,753.67,753.67,329.71,0.0,Completed
2023-01-06,Muscat,Retail,Laptops,4,342.4,181.21,1369.62,1369.62,644.77,0.0,Completed
2023-01-06,Salalah,Retail,Laptops,2,324.98,202.37,649.96,649.96,245.22,0.0,Completed
2023-01-06,Nizwa,Online,Accessories,2,24.63,16.46,49.27,49.27,16.35,0.0,Completed
2023-01-06,Muscat,Online,Smartphones,4,237.47,143.13,949.87,949.87,377.35,0.0,Completed
2023-01-06,Muscat,Online,Laptops,5,361.93,236.66,1809.63,1809.63,626.31,0.0,Completed
2023-01-06,Muscat,Online,Accessories,1,23.52,14.06,23.52,23.52,9.46,0.0,Completed
2023-01-06,Nizwa,Wholesale,Laptops,56,254.43,210.17,14248.29,14248.29,2478.96,0.0,Completed
2023-01-06,Muscat,Online,Smartphones,1,243.9,163.82,243.9,243.9,80.09,0.0,Completed
2023-01-07,Sohar,Retail,Wearables,1,82.24,47.56,82.24,82.24,34.69,0.0,Completed
2023-01-07,Muscat,Online,Laptops,5,361.23,218.41,1806.16,1806.16,714.13,0.0,Completed
2023-01-07,Muscat,Wholesale,Laptops,39,298.4,237.97,11637.78,11637.78,2357.11,0.0,Completed
2023-01-07,Muscat,Retail,Smartphones,5,247.63,139.43,1238.13,1238.13,540.96,0.0,Completed
2023-01-07,Muscat,Retail,Smartphones,4,248.11,148.19,992.45,992.45,399.7,0.0,Completed
2023-01-07,Sohar,Online,Smartphones,5,262.6,172.61,1312.98,0.0,-480.25,480.25,Returned
2023-01-08,Sohar,Retail,Tablets,3,146.04,99.16,438.11,438.11,140.64,0.0,Completed
2023-01-08,Muscat,Online,Wearables,4,79.62,40.25,318.47,318.47,157.46,0.0,Completed
2023-01-08,Muscat,Online,Accessories,4,22.86,13.33,91.43,91.43,38.1,0.0,Completed
2023-01-08,Sohar,Retail,Smartphones,2,265.55,148.83,531.11,531.11,233.45,0.0,Completed
2023-01-08,Sohar,Wholesale,Smartphones,38,186.14,128.88,7073.25,7073.25,2175.79,0.0,Completed
2023-01-08,Nizwa,Retail,Tablets,3,145.25,91.86,435.76,435.76,160.19,0.0,Completed
2023-01-08,Salalah,Online,Smartphones,5,263.98,175.5,1319.89,1319.89,442.4,0.0,Completed
2023-01-08,Salalah,Online,Wearables,3,85.1,52.71,255.3,255.3,97.16,0.0,Completed
2023-01-08,Salalah,Retail,Smartphones,4,264.88,140.56,1059.54,1059.54,497.31,0.0,Completed
2023-01-08,Muscat,Online,Laptops,4,347.02,195.79,1388.06,1388.06,604.92,0.0,Completed
2023-01-09,Sohar,Retail,Smartphones,5,270.37,186.65,1351.85,1351.85,418.6,0.0,Completed
2023-01-10,Muscat,Online,Tablets,2,153.21,88.96,306.41,306.41,128.49,0.0,Completed
2023-01-10,Muscat,Retail,Smartphones,4,229.28,152.18,917.13,917.13,308.4,0.0,Completed
2023-01-10,Salalah,Retail,Smartphones,4,259.75,176.57,1039.0,1039.0,332.73,0.0,Completed
2023-01-10,Muscat,Online,Accessories,2,23.49,15.53,46.99,46.99,15.92,0.0,Completed
2023-01-10,Sohar,Wholesale,Tablets,40,129.77,96.25,5190.69,5190.69,1340.7,0.0,Completed
2023-01-10,Nizwa,Online,Accessories,4,26.31,15.8,105.24,105.24,42.04,0.0,Completed
2023-01-10,Muscat,Retail,Tablets,5,156.6,88.69,782.98,782.98,339.54,0.0,Completed
2023-01-10,Muscat,Retail,Smartphones,2,246.91,149.4,493.82,493.82,195.03,0.0,Completed
2023-01-10,Salalah,Retail,Accessories,4,26.59,16.58,106.35,106.35,40.05,0.0,Completed
2023-01-11,Muscat,Online,Tablets,4,158.87,93.72,635.49,0.0,-362.49,362.49,Returned
2023-01-11,Muscat,Retail,Laptops,2,372.24,222.59,744.49,744.49,299.32,0.0,Completed
2023-01-11,Nizwa,Retail,Smartphones,1,238.36,135.06,238.36,238.36,103.29,0.0,Completed
2023-01-11,Muscat,Retail,Accessories,3,24.0,15.26,71.99,71.99,26.2,0.0,Completed
2023-01-11,Muscat,Retail,Smartphones,2,236.35,156.91,472.69,472.69,158.87,0.0,Completed
2023-01-12,Sohar,Online,Smartphones,1,254.3,172.63,254.3,254.3,81.67,0.0,Completed
2023-01-12,Sohar,Online,Smartphones,4,246.15,149.75,984.59,984.59,385.6,0.0,Completed
2023-01-12,Salalah,Retail,Smartphones,2,231.58,133.29,463.16,463.16,196.58,0.0,Completed
2023-01-12,Muscat,Retail,Smartphones,5,243.28,150.77,1216.4,1216.4,462.55,0.0,Completed
2023-01-13,Muscat,Retail,Wearables,5,83.08,43.9,415.38,415.38,195.9,0.0,Completed
2023-01-13,Salalah,Online,Wearables,2,84.12,43.29,168.23,168.23,81.66,0.0,Completed
2023-01-13,Muscat,Online,Wearables,3,75.17,44.29,225.51,225.51,92.66,0.0,Completed
2023-01-13,Salalah,Retail,Wearables,4,86.9,52.01,347.6,347.6,139.56,0.0,Completed
2023-01-14,Muscat,Online,Wearables,1,77.41,53.69,77.41,77.41,23.71,0.0,Completed
2023-01-14,Sohar,Retail,Tablets,4,151.1,95.23,604.41,604.41,223.5,0.0,Completed
2023-01-14,Muscat,Wholesale,Accessories,34,19.7,12.71,669.85,669.85,237.87,0.0,Completed
2023-01-14,Nizwa,Online,Accessories,2,23.19,13.89,46.38,46.38,18.61,0.0,Completed
